producto_original,producto_corregido,producto_key
Mantequilla,Mantequilla,MANTEQUILLA
Manzana,Manzana,MANZANA
Marcadores,Marcadores,MARCADORES
Margarina,Margarina,MARGARINA
Materna,Materna,MATERNA
Mayonesa,Mayonesa,MAYONESA
Maíz Palomero,Maíz Palomero,MAIZ PALOMERO
Maíz Pozolero,Maíz Pozolero,MAIZ POZOLERO
Medicasp Shampoo,Medicasp Shampoo,MEDICASP SHAMPOO
Mel?n,Melón,MELON
Meloxicam,Meloxicam,MELOXICAM
Melón,Melón,MELON
Merluza,Merluza,MERLUZA
Mermelada,Mermelada,MERMELADA
Mero,Mero,MERO
Metamizol Sodico,Metamizol Sodico,METAMIZOL SODICO
Metformina,Metformina,METFORMINA
Metformina-glibenclamida,Metformina-glibenclamida,METFORMINA-GLIBENCLAMIDA
Meticorten,Meticorten,METICORTEN
Metoprolol,Metoprolol,METOPROLOL
Mezcla California,Mezcla California,MEZCLA CALIFORNIA
Mezcla Campesina,Mezcla Campesina,MEZCLA CAMPESINA
Micardis,Micardis,MICARDIS
Micardis Plus,Micardis Plus,MICARDIS PLUS
Miconazol,Miconazol,MICONAZOL
Microbicida,Microbicida,MICROBICIDA
Mictasol,Mictasol,MICTASOL
Miel de Abeja,Miel de Abeja,MIEL DE ABEJA
MiniBocinas Portátiles Bluetooth,MiniBocinas Portátiles Bluetooth,MINIBOCINAS PORTATILES BLUETOOTH
Minibocinas Port?tiles Bluetooth,MiniBocinas Portátiles Bluetooth,MINIBOCINAS PORTATILES BLUETOOTH
Minibocinas Portátiles Bluetooth,Minibocinas Portátiles Bluetooth,MINIBOCINAS PORTATILES BLUETOOTH
Misoprostol,Misoprostol,MISOPROSTOL
Mochila,Mochila,MOCHILA
Mojarra,Mojarra,MOJARRA
Mole Rojo en Pasta,Mole Rojo en Pasta,MOLE ROJO EN PASTA
Montelukast,Montelukast,MONTELUKAST
Mortadela,Mortadela,MORTADELA
Mostaza,Mostaza,MOSTAZA
Motos y Carros Eléctricos,Motos y Carros Eléctricos,MOTOS Y CARROS ELECTRICOS
Motos y Carros Mecánicos,Motos y Carros Mecánicos,MOTOS Y CARROS MECANICOS
Motrin,Motrin,MOTRIN
Mucosolvan,Mucosolvan,MUCOSOLVAN
Muñecas,Muñecas,MUNECAS
Muñecas Eléctricas,Muñecas Eléctricas,MUNECAS ELECTRICAS
Muñecos,Muñecos,MUNECOS
Muñecos Eléctricos,Muñecos Eléctricos,MUNECOS ELECTRICOS
N?cleo C.m.p. Forte,Núcleo C.m.p. Forte,NUCLEO C.M.P. FORTE
Naproxeno,Naproxeno,NAPROXENO
"Naproxeno Sodico, Paracetamol","Naproxeno Sodico, Paracetamol","NAPROXENO SODICO, PARACETAMOL"
Naranja,Naranja,NARANJA
Nebulizador,Nebulizador,NEBULIZADOR
Neo Melubrina,Neo Melubrina,NEO MELUBRINA
Neuralin,Neuralin,NEURALIN
Nexium,Nexium,NEXIUM
Nexium-mups,Nexium-mups,NEXIUM-MUPS
Next. Tabs,Next. Tabs,NEXT. TABS
Nikzon,Nikzon,NIKZON
Nimesulida,Nimesulida,NIMESULIDA
Nitazoxanida,Nitazoxanida,NITAZOXANIDA
Nitrofurantoina,Nitrofurantoina,NITROFURANTOINA
Nootropil,Nootropil,NOOTROPIL
Nopal,Nopal,NOPAL
Norvas,Norvas,NORVAS
Novotiral,Novotiral,NOVOTIRAL
Novovartalon,Novovartalon,NOVOVARTALON
Nuez,Nuez,NUEZ
Núcleo C.m.p. Forte,Núcleo C.m.p. Forte,NUCLEO C.M.P. FORTE
Olanzapina,Olanzapina,OLANZAPINA
Olla de Presi?n Express,Olla de Presión Express,OLLA DE PRESION EXPRESS
Olla de Presión Express,Olla de Presión Express,OLLA DE PRESION EXPRESS
Omeprazol,Omeprazol,OMEPRAZOL
Orlistat,Orlistat,ORLISTAT
Oroxadin,Oroxadin,OROXADIN
Orégano,Orégano,OREGANO
Ox?metro,Oxímetro,OXIMETRO
Oxímetro,Oxímetro,OXIMETRO
P?mpano,Pámpano,PAMPANO
Pan Blanco Bolillo,Pan Blanco Bolillo,PAN BLANCO BOLILLO
Pan Dulce,Pan Dulce,PAN DULCE
Pan de Caja,Pan de Caja,PAN DE CAJA
Panoto-s,Panoto-s,PANOTO-S
Pantallas,Pantallas,PANTALLAS
Pantalón Corto Shorts Escuela,Pantalón Corto Shorts Escuela,PANTALON CORTO SHORTS ESCUELA
Pantalón Escuela Oficial,Pantalón Escuela Oficial,PANTALON ESCUELA OFICIAL
Pantiprotectores,Pantiprotectores,PANTIPROTECTORES
Pantoprazol,Pantoprazol,PANTOPRAZOL
Pantozol,Pantozol,PANTOZOL
Papa,Papa,PAPA
Papas Fritas y Similares,Papas Fritas y Similares,PAPAS FRITAS Y SIMILARES
Papaya,Papaya,PAPAYA
Papel Higiénico,Papel Higiénico,PAPEL HIGIENICO
Paracetamol,Paracetamol,PARACETAMOL
Paracetamol/cafeina,Paracetamol/cafeina,PARACETAMOL/CAFEINA
Pargo,Pargo,PARGO
Paroxetina,Paroxetina,PAROXETINA
Pasa (Uva Pasa),Pasa (Uva Pasa),PASA (UVA PASA)
Pasa (uva Pasa),Pasa (uva Pasa),PASA (UVA PASA)
Pasta para Sopa,Pasta para Sopa,PASTA PARA SOPA
Pastel Pimiento,Pastel Pimiento,PASTEL PIMIENTO
Pastelillos y Pan Dulce Empaquetado,Pastelillos y Pan Dulce Empaquetado,PASTELILLOS Y PAN DULCE EMPAQUETADO
Patanol,Patanol,PATANOL
Pavo,Pavo,PAVO
Paxil,Paxil,PAXIL
Pañales Desechables,Pañales Desechables,PANALES DESECHABLES
Pechuga de Pavo,Pechuga de Pavo,PECHUGA DE PAVO
Pedyalite. Sr-45. Electrolitos Orales,Pedyalite. Sr-45. Electrolitos Orales,PEDYALITE. SR-45. ELECTROLITOS ORALES
Pegamento,Pegamento,PEGAMENTO
Pemix,Pemix,PEMIX
Pentrexyl,Pentrexyl,PENTREXYL
Pepino,Pepino,PEPINO
Per?n,Perón,PERON
Pera,Pera,PERA
Perón,Perón,PERON
Pescado Seco Salado,Pescado Seco Salado,PESCADO SECO SALADO
Peto,Peto,PETO
Pharmaton. con Gingeng G115,Pharmaton. con Gingeng G115,PHARMATON. CON GINGENG G115
Piascledine 300,Piascledine 300,PIASCLEDINE 300
Picot. Sal de Uvas,Picot. Sal de Uvas,PICOT. SAL DE UVAS
Pilas Eléctricas,Pilas Eléctricas,PILAS ELECTRICAS
Piloncillo,Piloncillo,PILONCILLO
Pimienta,Pimienta,PIMIENTA
Pimiento,Pimiento,PIMIENTO
Piña,Piña,PINA
Piña en Alm?bar,Piña en Almíbar,PINA EN ALMIBAR
Piña en Almíbar,Piña en Almíbar,PINA EN ALMIBAR
Pl?tano,Plátano,PLATANO
Planchas,Planchas,PLANCHAS
Planchas de Vapor Vertical,Planchas de Vapor Vertical,PLANCHAS DE VAPOR VERTICAL
Plantaben,Plantaben,PLANTABEN
Plantago Psyllium,Plantago Psyllium,PLANTAGO PSYLLIUM
Plaquenil,Plaquenil,PLAQUENIL
Plastilina,Plastilina,PLASTILINA
Plato Sopero,Plato Sopero,PLATO SOPERO
Plato Trinche/extendido,Plato Trinche/extendido,PLATO TRINCHE/EXTENDIDO
Plavix,Plavix,PLAVIX
Playera Blanca,Playera Blanca,PLAYERA BLANCA
Playera Oficial,Playera Oficial,PLAYERA OFICIAL
Pliegos de Papel,Pliegos de Papel,PLIEGOS DE PAPEL
Plumines,Plumines,PLUMINES
Plumones,Plumones,PLUMONES
Plátano,Plátano,PLATANO
Pollo Rostizado. Tradicional,Pollo Rostizado. Tradicional,POLLO ROSTIZADO. TRADICIONAL
Polvo P/hornear,Polvo P/hornear,POLVO P/HORNEAR
Polvo P/preparar Bebidas,Polvo P/preparar Bebidas,POLVO P/PREPARAR BEBIDAS
Polvo P/preparar Bebidas Sabor Chocolate,Polvo P/preparar Bebidas Sabor Chocolate,POLVO P/PREPARAR BEBIDAS SABOR CHOCOLATE
Pomada de la Campana,Pomada de la Campana,POMADA DE LA CAMPANA
Portaminas,Portaminas,PORTAMINAS
Posipen,Posipen,POSIPEN
Postday,Postday,POSTDAY
Pravastatina,Pravastatina,PRAVASTATINA
Prevefem Complex,Prevefem Complex,PREVEFEM COMPLEX
Pristiq,Pristiq,PRISTIQ
Prodolina,Prodolina,PRODOLINA
Producto L?cteo,Producto Lácteo,PRODUCTO LACTEO
Producto Lácteo,Producto Lácteo,PRODUCTO LACTEO
Producto para Depilaci?n,Producto para Depilación,PRODUCTO PARA DEPILACION
Producto para Depilación,Producto para Depilación,PRODUCTO PARA DEPILACION
Protector Solar,Protector Solar,PROTECTOR SOLAR
Pulmicort,Pulmicort,PULMICORT
Pulmonarom,Pulmonarom,PULMONAROM
Pulpo,Pulpo,PULPO
Puré de Tomate,Puré de Tomate,PURE DE TOMATE
Pámpano,Pámpano,PAMPANO
Qg5,Qg5,QG5
Quadriderm Nf,Quadriderm Nf,QUADRIDERM NF
Queso Americano,Queso Americano,QUESO AMERICANO
Queso Canasto,Queso Canasto,QUESO CANASTO
Queso Chihuahua,Queso Chihuahua,QUESO CHIHUAHUA
Queso Cotija,Queso Cotija,QUESO COTIJA
Queso Crema,Queso Crema,QUESO CREMA
Queso Doble Crema,Queso Doble Crema,QUESO DOBLE CREMA
Queso Fresco,Queso Fresco,QUESO FRESCO
Queso Manchego,Queso Manchego,QUESO MANCHEGO
Queso Oaxaca,Queso Oaxaca,QUESO OAXACA
Queso Panela,Queso Panela,QUESO PANELA
Queso Sierra,Queso Sierra,QUESO SIERRA
Queso de Puerco,Queso de Puerco,QUESO DE PUERCO
R?bano,Rábano,RABANO
Ranitidina,Ranitidina,RANITIDINA
Rastrillos Desechables,Rastrillos Desechables,RASTRILLOS DESECHABLES
Redotex,Redotex,REDOTEX
Redoxon,Redoxon,REDOXON
Redoxon. Forte,Redoxon. Forte,REDOXON. FORTE
Redustat,Redustat,REDUSTAT
Refresco,Refresco,REFRESCO
Refresh Tears,Refresh Tears,REFRESH TEARS
Refrigeradores,Refrigeradores,REFRIGERADORES
Reglas,Reglas,REGLAS
Reproductores Streaming,Reproductores Streaming,REPRODUCTORES STREAMING
Repuestos de Navajas,Repuestos de Navajas,REPUESTOS DE NAVAJAS
Rinelon,Rinelon,RINELON
Riopan,Riopan,RIOPAN
Rivotril,Rivotril,RIVOTRIL
Rivotril. Gotas,Rivotril. Gotas,RIVOTRIL. GOTAS
Robalito,Robalito,ROBALITO
Robalo,Robalo,ROBALO
Rocephin Im,Rocephin Im,ROCEPHIN IM
Romeritos,Romeritos,ROMERITOS
Rompope,Rompope,ROMPOPE
Ron,Ron,RON
Ropa Interior Desechable y Similares,Ropa Interior Desechable y Similares,ROPA INTERIOR DESECHABLE Y SIMILARES
Rosca de Reyes,Rosca de Reyes,ROSCA DE REYES
Rubia,Rubia,RUBIA
Rábano,Rábano,RABANO
Réplica de Bal?n,Réplica de Balón,REPLICA DE BALON
Réplica de Balón,Réplica de Balón,REPLICA DE BALON
Sacapuntas,Sacapuntas,SACAPUNTAS
Sal Molida de Mesa,Sal Molida de Mesa,SAL MOLIDA DE MESA
Sal de Mar,Sal de Mar,SAL DE MAR
Salbutamol,Salbutamol,SALBUTAMOL
Salchicha,Salchicha,SALCHICHA
Salm?n,Salmón,SALMON
Salmón,Salmón,SALMON
Salsa Catsup,Salsa Catsup,SALSA CATSUP
Salsa Inglesa,Salsa Inglesa,SALSA INGLESA
Salsa Picante y Similares,Salsa Picante y Similares,SALSA PICANTE Y SIMILARES
Salsa de Soya,Salsa de Soya,SALSA DE SOYA
Sand?a,Sandía,SANDIA
Sandwicheras,Sandwicheras,SANDWICHERAS
Sandía,Sandía,SANDIA
Sardina,Sardina,SARDINA
Secadoras,Secadoras,SECADORAS
Secotex Ocas,Secotex Ocas,SECOTEX OCAS
Sedalmerck,Sedalmerck,SEDALMERCK
Seloken Zok,Seloken Zok,SELOKEN ZOK
Selopres Zok,Selopres Zok,SELOPRES ZOK
Semilla de Girasol,Semilla de Girasol,SEMILLA DE GIRASOL
Senosidos A-b,Senosidos A-b,SENOSIDOS A-B
Sensibit,Sensibit,SENSIBIT
Serc,Serc,SERC
Seretide Diskus,Seretide Diskus,SERETIDE DISKUS
Sermion,Sermion,SERMION
Sertralina,Sertralina,SERTRALINA
Servilletas de Papel Blanco,Servilletas de Papel Blanco,SERVILLETAS DE PAPEL BLANCO
Severin N.f.,Severin N.f.,SEVERIN N.F
Shampoo,Shampoo,SHAMPOO
Shampoo ?ntimo,Shampoo Íntimo,SHAMPOO INTIMO
Shampoo para Bebés/niños,Shampoo para Bebés/niños,SHAMPOO PARA BEBES/NINOS
Shampoo Íntimo,Shampoo Íntimo,SHAMPOO INTIMO
Sidra,Sidra,SIDRA
Sierra,Sierra,SIERRA
Sies,Sies,SIES
Sildenafil,Sildenafil,SILDENAFIL
Silka Medic,Silka Medic,SILKA MEDIC
Simvastatina,Simvastatina,SIMVASTATINA
Sinergix,Sinergix,SINERGIX
Singulair,Singulair,SINGULAIR
Sinuberase,Sinuberase,SINUBERASE
Sirdalud,Sirdalud,SIRDALUD
Sistema GB. Solución Alopecia,Sistema GB. Solución Alopecia,SISTEMA GB. SOLUCION ALOPECIA
Sistema Gb. Soluci?n Alopecia,Sistema GB. Solución Alopecia,SISTEMA GB. SOLUCION ALOPECIA
Sistema Gb. Solución Alopecia,Sistema Gb. Solución Alopecia,SISTEMA GB. SOLUCION ALOPECIA
Somazina,Somazina,SOMAZINA
Soya,Soya,SOYA
Spray Desinfectante,Spray Desinfectante,SPRAY DESINFECTANTE
Sterimar,Sterimar,STERIMAR
Stugeron Forte,Stugeron Forte,STUGERON FORTE
Suavizante P/ropa,Suavizante P/ropa,SUAVIZANTE P/ROPA
Subsalicilato de Bismuto,Subsalicilato de Bismuto,SUBSALICILATO DE BISMUTO
Sueros Orales,Sueros Orales,SUEROS ORALES
Suerox,Suerox,SUEROX
Suerox. 0 Az?car,Suerox. 0 Azúcar,SUEROX. 0 AZUCAR
Suerox. 0 Azúcar,Suerox. 0 Azúcar,SUEROX. 0 AZUCAR
Sufrexal Combi,Sufrexal Combi,SUFREXAL COMBI
Suplemento Alimenticio,Suplemento Alimenticio,SUPLEMENTO ALIMENTICIO
Supradol,Supradol,SUPRADOL
Sustituto de Az?car,Sustituto de Azúcar,SUSTITUTO DE AZUCAR
Sustituto de Azúcar,Sustituto de Azúcar,SUSTITUTO DE AZUCAR
Suéter Escuela Oficial,Suéter Escuela Oficial,SUETER ESCUELA OFICIAL
Systane,Systane,SYSTANE
Tabcin,Tabcin,TABCIN
Tabcin 500,Tabcin 500,TABCIN 500
Tablet,Tablet,TABLET
Tacex Im,Tacex Im,TACEX IM
Tafil,Tafil,TAFIL
Tafirol Flex,Tafirol Flex,TAFIROL FLEX
Talco,Talco,TALCO
Talco para Bebé,Talco para Bebé,TALCO PARA BEBE
Tamarindo,Tamarindo,TAMARINDO
Tampones,Tampones,TAMPONES
Tamsulosina,Tamsulosina,TAMSULOSINA
Tapete Sanitizante,Tapete Sanitizante,TAPETE SANITIZANTE
Taza para Café,Taza para Café,TAZA PARA CAFE
Tecta,Tecta,TECTA
Tejocote,Tejocote,TEJOCOTE
Telmisartan,Telmisartan,TELMISARTAN
Tempra,Tempra,TEMPRA
Tenedor,Tenedor,TENEDOR
Tenis,Tenis,TENIS
Tenoretic,Tenoretic,TENORETIC
Tenormin,Tenormin,TENORMIN
Tequila,Tequila,TEQUILA
Terbinafina,Terbinafina,TERBINAFINA
Term?metro,Termómetro,TERMOMETRO
Termómetro,Termómetro,TERMOMETRO
Terramicina,Terramicina,TERRAMICINA
Theraflu,Theraflu,THERAFLU
Tiaminal B12,Tiaminal B12,TIAMINAL B12
Tijera,Tijera,TIJERA
Tijeras,Tijeras,TIJERAS
Tilapia,Tilapia,TILAPIA
Tinte para el Cabello,Tinte para el Cabello,TINTE PARA EL CABELLO
Tiras Reactivas,Tiras Reactivas,TIRAS REACTIVAS
Toalla Femenina,Toalla Femenina,TOALLA FEMENINA
Toalla de Papel,Toalla de Papel,TOALLA DE PAPEL
Toallita H?meda Limpiadora,Toallita Húmeda Limpiadora,TOALLITA HUMEDA LIMPIADORA
Toallita Húmeda Limpiadora,Toallita Húmeda Limpiadora,TOALLITA HUMEDA LIMPIADORA
Toallitas Desinfectantes,Toallitas Desinfectantes,TOALLITAS DESINFECTANTES
Tocino Ahumado,Tocino Ahumado,TOCINO AHUMADO
Tomate,Tomate,TOMATE
Tomillo,Tomillo,TOMILLO
Topiramato,Topiramato,TOPIRAMATO
Toronja,Toronja,TORONJA
Tortilla de Harina de Trigo,Tortilla de Harina de Trigo,TORTILLA DE HARINA DE TRIGO
Tortilla de Ma?z,Tortilla de Maíz,TORTILLA DE MAIZ
Tortilla de Maíz,Tortilla de Maíz,TORTILLA DE MAIZ
Tostadas de Ma?z,Tostadas de Maíz,TOSTADAS DE MAIZ
Tostadas de Maíz,Tostadas de Maíz,TOSTADAS DE MAIZ
Tostadores de Pan,Tostadores de Pan,TOSTADORES DE PAN
Tramacet,Tramacet,TRAMACET
Tramadol,Tramadol,TRAMADOL
Travatan,Travatan,TRAVATAN
Trayenta,Trayenta,TRAYENTA
Treda,Treda,TREDA
Trental,Trental,TRENTAL
Trexen Duo,Trexen Duo,TREXEN DUO
Trimetoprima Sulfametoxazol,Trimetoprima Sulfametoxazol,TRIMETOPRIMA SULFAMETOXAZOL
Trucha,Trucha,TRUCHA
Tuna,Tuna,TUNA
Turrón,Turrón,TURRON
Tylex 750,Tylex 750,TYLEX 750
Té,Té,TE
Té Preparado,Té Preparado,TE PREPARADO
Ulsen,Ulsen,ULSEN
Ulsen Pcs,Ulsen Pcs,ULSEN PCS
Unesia,Unesia,UNESIA
Uniclar,Uniclar,UNICLAR
Unival,Unival,UNIVAL
Uva,Uva,UVA
Vagitrol -V,Vagitrol -V,VAGITROL -V
Vagitrol -v,Vagitrol -v,VAGITROL -V
Vainilla,Vainilla,VAINILLA
Vajilla,Vajilla,VAJILLA
Varios,Varios,VARIOS
Variton,Variton,VARITON
Vartalon Compositum,Vartalon Compositum,VARTALON COMPOSITUM
Vasculflow,Vasculflow,VASCULFLOW
Vaselina,Vaselina,VASELINA
Venalot Depot,Venalot Depot,VENALOT DEPOT
Venda El?stica,Venda Elástica,VENDA ELASTICA
Venda Elástica,Venda Elástica,VENDA ELASTICA
Venditas Adhesivas,Venditas Adhesivas,VENDITAS ADHESIVAS
Venlafaxina,Venlafaxina,VENLAFAXINA
Ventiladores,Ventiladores,VENTILADORES
Verdolaga,Verdolaga,VERDOLAGA
Vermox Plus,Vermox Plus,VERMOX PLUS
Viagra,Viagra,VIAGRA
Vick Vaporub,Vick Vaporub,VICK VAPORUB
Videoc?maras,Videocámaras,VIDEOCAMARAS
Videocámaras,Videocámaras,VIDEOCAMARAS
Videojuegos,Videojuegos,VIDEOJUEGOS
Villajaiba,Villajaiba,VILLAJAIBA
Vinagre,Vinagre,VINAGRE
Vino de Mesa,Vino de Mesa,VINO DE MESA
Vitacilina,Vitacilina,VITACILINA
Vytorin 10/20,Vytorin 10/20,VYTORIN 10/20
Whisky,Whisky,WHISKY
Xatral-od,Xatral-od,XATRAL-OD
Xl-3,Xl-3,XL-3
Yasmin,Yasmin,YASMIN
Yasmin 24/4,Yasmin 24/4,YASMIN 24/4
Yoghurt,Yoghurt,YOGHURT
Zactos,Zactos,ZACTOS
Zanahoria,Zanahoria,ZANAHORIA
Zinnat,Zinnat,ZINNAT
Zintrepid,Zintrepid,ZINTREPID
Zofilip,Zofilip,ZOFILIP
Ácido Fólico,Ácido Fólico,ACIDO FOLICO
