producto_original,producto_corregido,producto_key
Bolsa Reutilizable Caliente/fr?o,Bolsa Reutilizable Caliente/frío,BOLSA REUTILIZABLE CALIENTE/FRIO
Bolsa Reutilizable Caliente/frío,Bolsa Reutilizable Caliente/frío,BOLSA REUTILIZABLE CALIENTE/FRIO
Bolígrafo Colores Varios,Bolígrafo Colores Varios,BOLIGRAFO COLORES VARIOS
Bolígrafo Tinta Negra,Bolígrafo Tinta Negra,BOLIGRAFO TINTA NEGRA
Bonviva,Bonviva,BONVIVA
Br?coli,Brócoli,BROCOLI
Brandy,Brandy,BRANDY
Bredelin,Bredelin,BREDELIN
Bromuro de Pinaverio,Bromuro de Pinaverio,BROMURO DE PINAVERIO
Brócoli,Brócoli,BROCOLI
Buscapina Compositum,Buscapina Compositum,BUSCAPINA COMPOSITUM
Butilhioscina,Butilhioscina,BUTILHIOSCINA
Butilhioscina/ Metamizol Sodico,Butilhioscina/ Metamizol Sodico,BUTILHIOSCINA/ METAMIZOL SODICO
C?maras Digitales,Cámaras Digitales,CAMARAS DIGITALES
C?rcuma,Cúrcuma,CURCUMA
Cacahuates,Cacahuates,CACAHUATES
Cafeteras,Cafeteras,CAFETERAS
Cafiaspirina,Cafiaspirina,CAFIASPIRINA
Café Soluble,Café Soluble,CAFE SOLUBLE
Café Tostado y Molido,Café Tostado y Molido,CAFE TOSTADO Y MOLIDO
Cajeta,Cajeta,CAJETA
Calabaza,Calabaza,CALABAZA
Calamar,Calamar,CALAMAR
Calcitriol,Calcitriol,CALCITRIOL
Calculadoras,Calculadoras,CALCULADORAS
Callo de Almeja,Callo de Almeja,CALLO DE ALMEJA
Callo de Hacha,Callo de Hacha,CALLO DE HACHA
Camar?n,Camarón,CAMARON
Camarón,Camarón,CAMARON
Camisa Escuela Oficial,Camisa Escuela Oficial,CAMISA ESCUELA OFICIAL
Canela,Canela,CANELA
Canesten V,Canesten V,CANESTEN V
Captopril,Captopril,CAPTOPRIL
Carbamazepina,Carbamazepina,CARBAMAZEPINA
Carne Cerdo,Carne Cerdo,CARNE CERDO
Carne Pavo,Carne Pavo,CARNE PAVO
Carne Pollo,Carne Pollo,CARNE POLLO
Carne Res,Carne Res,CARNE RES
Carne Ternera,Carne Ternera,CARNE TERNERA
Carpa,Carpa,CARPA
Castañas,Castañas,CASTANAS
Caz?n,Cazón,CAZON
Cazón,Cazón,CAZON
Caña,Caña,CANA
Cebolla,Cebolla,CEBOLLA
Cefaclor,Cefaclor,CEFACLOR
Cefalexina,Cefalexina,CEFALEXINA
Cefaxona I.m.,Cefaxona I.m.,CEFAXONA I.M
Cefotaxima,Cefotaxima,CEFOTAXIMA
Ceftrex Im,Ceftrex Im,CEFTREX IM
Ceftriaxona,Ceftriaxona,CEFTRIAXONA
Cefuracet,Cefuracet,CEFURACET
Cefuroxima,Cefuroxima,CEFUROXIMA
Celebrex,Celebrex,CELEBREX
Celestamine-ns,Celestamine-ns,CELESTAMINE-NS
Celestone Soluspan,Celestone Soluspan,CELESTONE SOLUSPAN
Celulares,Celulares,CELULARES
Centro de Lavado,Centro de Lavado,CENTRO DE LAVADO
Cepillo Dental,Cepillo Dental,CEPILLO DENTAL
Cereales,Cereales,CEREALES
Cerillos,Cerillos,CERILLOS
Cerveza,Cerveza,CERVEZA
Cetirizina,Cetirizina,CETIRIZINA
Ch?a,Chía,CHIA
Ch?charo,Chícharo,CHICHARO
Ch?charos,Chícharos,CHICHAROS
Ch?charos en Lata,Chícharos en Lata,CHICHAROS EN LATA
Chaleco,Chaleco,CHALECO
Champiñones,Champiñones,CHAMPINONES
Charal,Charal,CHARAL
Chayote,Chayote,CHAYOTE
Chazarilla Escuela Oficial,Chazarilla Escuela Oficial,CHAZARILLA ESCUELA OFICIAL
Chile Fresco,Chile Fresco,CHILE FRESCO
Chile Seco,Chile Seco,CHILE SECO
Chiles,Chiles,CHILES
Chiles Largos en Escabeche,Chiles Largos en Escabeche,CHILES LARGOS EN ESCABECHE
Chiles Largos o Güeros Carricillos,Chiles Largos o Güeros Carricillos,CHILES LARGOS O GUEROS CARRICILLOS
Chocolate,Chocolate,CHOCOLATE
Chocolate en Tablillas,Chocolate en Tablillas,CHOCOLATE EN TABLILLAS
Cholal Modificado,Cholal Modificado,CHOLAL MODIFICADO
Chorizo,Chorizo,CHORIZO
Chucumite,Chucumite,CHUCUMITE
Chía,Chía,CHIA
Chícharo,Chícharo,CHICHARO
Chícharos,Chícharos,CHICHAROS
Chícharos en Lata,Chícharos en Lata,CHICHAROS EN LATA
Cialis,Cialis,CIALIS
Cilantro,Cilantro,CILANTRO
Cinarizina,Cinarizina,CINARIZINA
Cinta Adhesiva,Cinta Adhesiva,CINTA ADHESIVA
Cintilla,Cintilla,CINTILLA
Ciproflox,Ciproflox,CIPROFLOX
Ciprofloxacino,Ciprofloxacino,CIPROFLOXACINO
Ciruela,Ciruela,CIRUELA
Ciruela Pasa,Ciruela Pasa,CIRUELA PASA
Claritromicina,Claritromicina,CLARITROMICINA
